Step	Temp	TotEng	Xlo	Xhi	Ylo	Yhi	Zlo	Zhi	Volume
6200000	1243.1754	-35017.295	-2.2983754	215.89838	-1.3269675	124.64897	-0.5	0.5	27487.54
6225000	1253.2149	-35001.173	-2.3698446	215.96984	-1.3682302	124.69023	-0.5	0.5	27523.565
6250000	1265.4857	-34996.853	-2.2984973	215.8985	-1.3270378	124.64904	-0.5	0.5	27487.601
6275000	1268.1777	-34984.155	-2.3852228	215.98522	-1.3771088	124.69911	-0.5	0.5	27531.32
6300000	1274.3078	-34972.933	-2.3005238	215.90052	-1.3282078	124.65021	-0.5	0.5	27488.622
6325000	1293.4152	-34953.144	-2.4017354	216.00174	-1.3866424	124.70864	-0.5	0.5	27539.648
6350000	1306.2132	-34966.713	-2.3089756	215.90898	-1.3330875	124.65509	-0.5	0.5	27492.881
6375000	1306.2633	-34952.934	-2.4091171	216.00912	-1.3909042	124.7129	-0.5	0.5	27543.371
6400000	1309.3473	-34974.624	-2.3226276	215.92263	-1.3409695	124.66297	-0.5	0.5	27499.762
6425000	1334.9476	-34918.542	-2.4090406	216.00904	-1.39086	124.71286	-0.5	0.5	27543.333
6450000	1324.3654	-34929.422	-2.3478326	215.94783	-1.3555216	124.67752	-0.5	0.5	27512.467
6475000	1338.4513	-34939.709	-2.4004877	216.00049	-1.385922	124.70792	-0.5	0.5	27539.019
6500000	1308.859	-34924.694	-2.3824515	215.98245	-1.3755088	124.69751	-0.5	0.5	27529.922
6525000	1321.9035	-34932.659	-2.3842317	215.98423	-1.3765366	124.69854	-0.5	0.5	27530.82
6550000	1341.7482	-34914.684	-2.4155983	216.0156	-1.3946461	124.71665	-0.5	0.5	27546.64
